antigravity-ide 2.0.4-1
anydesk-bin 8.0.2-1
arch-update 3.20.0-1
aur-sync-vote 0.2.3-1
bibata-cursor-theme 2.0.7-1
claude-code 2.1.173-1
claude-desktop-appimage 2.0.19+claude1.11847.5-1
dropbox 250.4.3245-1
evince-no-gnome 48.4-1
google-chrome-dev 151.0.7872.0-1
insomnia-bin 1:12.6.0-1
librewolf-bin 1:151.0.4_1-1
localsend 1.17.0-3
lz4json 2-1
netextender 10.3.1_29-1
onlyoffice-bin 9.4.0-1
pacseek 1.8.6-1
pamac-aur 11.7.5-1
pencil-dev-bin 1.1.56-1
perssua 0.21.1-1
polychromatic 0.9.7-1
rustdesk-bin 1.4.7-1
spicetify-cli 2.43.2-1
spicetify-themes-git r528.9af41cf-1
sublime-text-4 4.4200-1
systemd-manager-tui 1.2.4-1
tty-clock 2.3-2
ventoy-bin 1.1.12-1
visual-studio-code-bin 1.124.0-1
woeusb-ng 0.2.12-4
yay-bin 12.6.0-1
yewtube 2.13.1-1
zen-browser-bin 1.21b-1
