7zip 26.01-1
aria2 1.37.0-3
aspnet-runtime 10.0.8.sdk108-1
atuin 18.16.1-1
base 3-3
base-devel 1-2
bat 0.26.1-2
bind 9.20.23-1
bitwarden 2026.2.1-1
bitwarden-cli 2026.2.0-1
blueman 2.4.6-2
bluez 5.86-6
bluez-utils 5.86-6
btop 1.4.7-1
bun 1.3.14-1
caddy 2.11.3-1
calf 0.90.9-2
cameractrls 0.6.10-2
clang 22.1.6-1
cliphist 1:0.7.0-2
cloc 2.08-1
cloudflared 2026.6.0-1
cuda 13.3.0-1
dbeaver 26.1.0-1
discord 1:1.0.142-1
dnsmasq 2.93-1
docker 1:29.5.2-1
docker-buildx 0.34.1-1
docker-compose 5.1.4-1
dolphin 26.04.2-1
dotnet-sdk 10.0.8.sdk108-1
dunst 1.13.2-1
easyeffects 8.2.4-1
efibootmgr 18-4
ethtool 1:7.0-1
eza 0.23.4-3
fail2ban 1.1.0-8
fastfetch 2.64.2-2
fd 10.4.2-2
filelight 26.04.2-1
file-roller 44.6-2
firefox 151.0.4-1
flameshot 13.3.0-2
freerdp 2:3.26.0-1
fzf 0.72.0-1
gdb 17.2-1
ghostwriter 26.04.2-1
gimp 3.2.4-1
git 2.54.0-1
github-cli 2.94.0-1
gnome-calculator 50.0-1
gnome-clocks 50.0-2
gnome-disk-utility 46.1-2
gnome-keyring 1:50.0-1
go 2:1.26.4-1
grim 1.5.0-2
gst-plugin-pipewire 1:1.6.6-1
gvfs 1.60.0-2
gvfs-mtp 1.60.0-2
htop 3.5.1-1
hypridle 0.1.7-9
hyprland 0.55.3-1
hyprlock 0.9.5-4
hyprpaper 0.8.4-2
hyprshot 1.3.0-4
hyprsunset 0.3.3-7
imagemagick 7.1.2.25-1
intel-media-driver 26.1.5-1
intel-ucode 20260512-1
iperf3 3.21-1
iwd 3.12-1
jdk21-openjdk 21.0.11.u10-1
jdk-openjdk 26.0.1.u8-1
jq 1.8.1-3
kdeconnect 26.04.2-1
kio-fuse 5.1.1-2
kitty 0.47.1-1
lazydocker 0.25.2-1
less 1:704-1
libpulse 17.0+r98+gb096704c0-1
libva-intel-driver 2.4.1-7
libva-utils 2.23.0-1
libvirt 1:12.4.0-1
linux 7.0.11.arch1-1
linux-firmware 20260519-1
linux-headers 7.0.11.arch1-1
linux-lts 6.18.35-1
linux-lts-headers 6.18.35-1
loupe 50.0-1
lsp-plugins 1.2.29-1
luajit 2.1.1780076327+b925b3e-1
mangohud 0.8.4-1
mariadb-clients 12.3.2-2
mpv 1:0.41.0-3
nano 9.0-1
nano-syntax-highlighting 2025.07.01.r0.g256995b-2
neovim 0.12.2-1
networkmanager 1.56.1-1
network-manager-applet 1.36.0-2
networkmanager-openconnect 1.2.10-4
noto-fonts 1:2026.06.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npm 11.16.0-1
ntfs-3g 2026.2.25-1
ntfsprogs 2026.2.25-1
nvidia-container-toolkit 1.19.1-1
nvidia-open 610.43.02-2
nvme-cli 2.16-2
obsidian 1.12.7-2
obs-studio 32.1.2-5
ollama 0.30.7-1
ollama-cuda 0.30.7-1
openconnect 1:9.12-5
openrazer-daemon 3.12.2-2
openssh 10.3p1-1
pavucontrol 1:6.2-1
perl-file-homedir 1.006-8
perl-image-exiftool 13.55-1
perl-yaml-tiny 1.76-3
pipewire 1:1.6.6-1
pipewire-alsa 1:1.6.6-1
pipewire-jack 1:1.6.6-1
pipewire-pulse 1:1.6.6-1
pnpm 11.3.0-1
polkit-kde-agent 6.6.5-1
pv 1.10.5-1
python-gpgme 2.0.0-2
python-pip 26.1.2-1
qbittorrent 5.2.1-1
qemu-full 11.0.1-1
qt5-graphicaleffects 5.15.19-1
qt5-quickcontrols2 5.15.19+kde+r5-1
qt5-wayland 5.15.19+kde+r55-1
qt6-wayland 6.11.1-1
quickshell 0.3.0-2
raylib 6.0-1
rclone 1.74.3-1
refind 0.14.2-3
reflector 2023-5
resvg 0.47.0-2
rofi 2.0.0-1
rsync 3.4.4-1
sassc 3.6.2-5
sbctl 0.18-1
sddm 0.21.0-7
seahorse 1:47.0.1-6
slurp 1.5.0-2
smartmontools 7.5-1
sof-firmware 2025.12.2-1
speedtest-cli 2.1.3-10
spotify-launcher 0.6.6-1
sshfs 3.7.6-1
starship 1.25.1-1
steam 1.0.0.85-7
stow 2.4.1-1
swappy 1.8.0-1
swaync 0.12.6-1
tcpdump 4.99.6-1
texlive-basic 2026.1-1
texlive-bibtexextra 2026.1-1
texlive-bin 2026.0-2
texlive-binextra 2026.1-1
texlive-context 2026.1-1
texlive-fontsextra 2026.1-1
texlive-fontsrecommended 2026.1-1
texlive-fontutils 2026.1-1
texlive-formatsextra 2026.1-1
texlive-games 2026.1-1
texlive-humanities 2026.1-1
texlive-latexextra 2026.1-1
texlive-luatex 2026.1-1
texlive-mathscience 2026.1-1
texlive-metapost 2026.1-1
texlive-music 2026.1-1
texlive-plaingeneric 2026.1-1
texlive-pstricks 2026.1-1
texlive-publishers 2026.1-1
texlive-xetex 2026.1-1
thunar 4.20.8-3
thunar-volman 4.20.0-2
tldr 3.4.4-1
tokei 14.0.0-1
transmission-cli 4.1.1-1
tree 2.3.2-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-liberation 2.1.5-2
ttf-nerd-fonts-symbols-mono 3.4.0-1
udiskie 2.6.2-1
ufw 0.36.2-7
unzip 6.0-23
uv 0.11.20-1
uwsm 0.26.4-1
v4l2loopback-dkms 0.15.3-1
vim 9.2.0600-1
virt-manager 5.1.0-3
virt-viewer 11.0-4
vlc 3.0.23_2-6
vlc-plugin-ffmpeg 3.0.23_2-6
vlc-plugins-all 3.0.23_2-6
vulkan-intel 1:26.1.2-1
vulkan-nouveau 1:26.1.2-1
vulkan-radeon 1:26.1.2-1
warp-terminal v0.2026.06.03.09.49.stable_04-1
waybar 0.15.0-2
wev 1.1.0-1
wget 1.25.0-5
wireless_tools 30.pre9-5
wireplumber 0.5.14-1
wofi 1.5.3-1
wpa_supplicant 2:2.11-5
xdg-desktop-portal-hyprland 1.3.12-2
xdg-desktop-portal-wlr 0.8.2-1
xdg-utils 1.2.1-2
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-3
xf86-video-nouveau 1.0.18-1
xorg-server 21.1.23-1
xorg-xinit 1.4.4-1
xsettingsd 1.0.2-3
yazi 26.5.6-3
yt-dlp 2026.06.09-1
zellij 0.44.3-1
zoxide 0.9.9-2
zram-generator 1.2.1-1
zsh 5.9.1-1
zsh-autosuggestions 0.7.1-1
zsh-syntax-highlighting 0.8.0-2
